,text,like,love,care,haha,wow,sad,angry
10,"各位台灣隊友，距離公投只剩下不到24小時了，我有一些話想跟大家說。

請大家一起來看這支影片，看完記得幫我分享出去，也請大家明天一定要出門投票。

四個不同意，台灣更有力，我們用手上的選票，穩住國家發展的方向，一起讓台灣走向世界。",21975,285,439,88,8,10,361
11,"我對我家這幾位有些不同意。

https://www.instagram.com/p/CXivEmJv5rB/?utm_medium=copy_link",13134,320,150,321,6,8,200
12,"反美豬公投不同意，請大家一定要出門投票！

今天我參加工具機公會的會員大會，跟很多產業界的先進見面，我們也再次討論到，加入CPTPP的迫切重要性。

CPTPP會員國當中，很多是台灣工具機重要的市場。在銷往越南、澳洲、墨西哥等市場時，我們的CNC車床、沖床或工具機零件，仍然面對2％到8％的關稅壓力，而我們的競爭對手，已經靠著各種FTA協定，用不到1％的平均關稅在跟台灣競爭。

台灣的電子業、半導體很厲害，絕大部分電子業產品沒有關稅的壓力。但是許多傳統產業，仍然需要長期面對主要對手的關稅優勢，有非常大的競爭壓力。

加入CPTPP，可以讓台灣的產業，和世界各國在公平的立足點上競爭，也一定能夠讓台灣的產業，在全世界的市場中，占有更重要的地位。

台灣有信心也有意願，成為世界各國值得信賴的貿易夥伴。

週六的公投，就是我們展現決心的關鍵時刻。

全世界的對手都在跟台灣激烈競爭，我們沒有時間再走回頭路。我要請大家在 #反美豬進口這題投下不同意，我們一起告訴全世界，台灣是有貿易談判信用、也能夠遵守國際標準的國家。

公投四個不同意，#請大家一定要出門投票，讓台灣產業走出國際。",60266,439,853,327,42,41,1031
13,"國際支持真的很強勁！歡迎法國朋友來訪！

今天早上，法國國民議會友台小組來訪總統府，展現對台灣的強勁支持。戴扈傑主席（François de Rugy） 是第二次來訪，這次他送給我們上個月法國國會通過的 #支持台灣參與國際組織 決議文正本。我要告訴大家，這就是台法友好的重要象徵。

還有杜瑪議員（Frédérique Dumas）也別上「我是台灣」的名牌，並將這個別具意義的名牌送給我，用行動給予我們溫暖的支持。

這一年來，台法關係突飛猛進，法國參議院和國民議會都首次通過友台決議，讓台灣人民相當感動。我也特別向所有的訪賓，表達最深的感謝。

台灣和法國是共享價值的好朋友，面對國際情勢快速變化，威權主義持續擴張，台灣會持續和法國、歐盟等民主夥伴，攜手守護印太地區的和平穩定。

除了台法國會交流，我們也希望，不久的未來，能歡迎法國政府閣員訪台，讓台法關係越來越深化。

#台法友好",24125,431,253,37,4,1,94
14,"距離公投倒數48小時，這段時間我們談了很多公投，若你還在思考怎麼投票，今天我想針對美豬的議題再一次向大家深入說明，我也會把公投大補帖都放在留言處，希望讓各位朋友知道，為什麼我「不同意」反對美豬進口。

如果你也支持我，今天 #請你幫我分享這一篇：

1️⃣避免衝擊台灣經濟：
這幾天，財經界及產業界專業人士紛紛站出來，警示反美豬進口若通過，不只影響台灣加入CPTPP，更將衝擊國內經濟及股市面。這證明了 #美豬進口不是食安問題， #而是貿易問題和經濟問題，我們應該從這個角度來思考如何投票。

2️⃣台灣產業更有競爭力：
台灣有許多以出口為導向的傳統產業，至今仍然受到關稅及非關稅障礙的阻礙。若台灣成功加入CPTPP，勢必為台灣產業取得關稅及投資優勢，也更有競爭力。這樣可以讓台灣產業有更好的籌碼跟世界各國做生意，這是關鍵的時刻。

3️⃣拓展國際經貿布局：
台美自由貿易協定與CPTPP，是讓台灣脫離國際經貿被孤立，最重要的兩件事。進一步開放美豬，更是關鍵中的關鍵。因此，若公投後，我們改變了美豬進口政策，會讓其他國家解讀為台灣對外貿易政策的不穩定性，甚至也不利台灣產業對外布局。

4️⃣政府做好食安把關：
食安是科學問題，科學上，專家告訴我們只要符合CODEX國際標準，就不會威脅到健康。也 #沒有人會一天吃六碗豬肝湯。

馬政府開放美牛九年來，也已經證明符合標準、經過政府把關的美牛，不會造成食安的問題。#符合標準的美牛可以吃美豬也可以吃。

5️⃣避免鎖回中國單一市場：
比起其他國家，台灣拓展國際空間的道路更坎坷，因為我們有一個鄰居，全力阻擋我們走向世界、限制台灣的生存。

也因為這樣，台灣更需要走出國際，在經貿措施、產業競爭力上要更加努力，才能克服中國在貿易上的威脅，成為一個更自由、更繁榮的國家。#我們不能讓公投結果變相造成台灣經濟只能倚賴中國。

這五點是從總體經濟的角度來談，謝謝大家耐心的閱讀，請幫我分享給更多人，留言處也有相關影片可以收看。",28019,194,378,95,4,21,381
15,大家早安！我正在總統府內接見法國國民議會友台小組主席戴扈傑（François de Rugy）訪團。歡迎一起加入直播，也幫我分享出去！,6112,648,115,23,6,2,107
16,大家早安！稍後九點半，我將在總統府內接見法國國民議會友台小組主席戴扈傑（François de Rugy）訪團。歡迎一起加入直播，也幫我分享出去！,10304,147,99,11,1,1,73
17,"這次公投有三接，但你們知道一接在哪嗎？

今天我和高雄市 陳其邁 Chen Chi-Mai 市長來到「石斑魚的故鄉」永安，這裡有國內#第一座天然氣接收站，結合接收站的特性，成立全國第一座「LNG冷排水養殖試驗場」。

接收站產出的LNG冷排水，在地業者都稱為「鑽石水」，可以用來養殖更高品質的龍膽石斑、龍虎斑及青斑。

這項養殖技術讓台灣在國際上發光發熱，現在養殖場更結合綠能發電，創造漁電共生的新型態循環經濟。

永安養殖漁業為南台灣設下一個重要典範，促進台灣經濟發展，我要感謝養殖業者的努力，也期待台灣優質的水產品，持續進軍國際市場。

#一接旁邊沒有海鮮鍋
#我今天看只有活蹦亂跳的石斑
#Discovery都說讚",42072,390,357,99,40,11,176
18,"#這篇請幫我傳給你的中南部朋友看

今天，我與 翁章梁 Weng Chang-Liang 縣長、 黃偉哲 市長、 陳其邁 Chen Chi-Mai 市長以及 潘孟安 縣長，齊聚在高雄。我們站在一起，就是想要告訴大家，這次的公投對中南部的經濟發展，真的非常重要。

南台灣產業正在蓬勃發展，尤其是高雄，不只台積電來了，美商英特格和德商默克等高科技業者，也都一個個來投資。南台灣產業實力越堅強，台灣整體發展就不會頭重腳輕，可以保持世界頂尖的競爭力。

台灣經濟成長率已經連續兩年是亞洲四小龍第一，過去我們常說「好想贏韓國」，現在就是關鍵的時刻。台灣要大步向前走，政策就不能走回頭路。所以我要拜託大家，公投一定要投下不同意：

1️⃣南台灣需要安全、穩定、環保的能源

經濟要發展，空污也要改善，我們的策略很清楚，在北部興建 #天然氣第三接收站，用燃氣取代燃煤發電，再搭配綠能，就能夠穩定供電，也能改善南部的空污。

#停建三接公投請投下不同意。

2️⃣南台灣的經濟，要能持續接軌國際

當南台灣的農產品，特別是我們感到驕傲的台灣豬肉，都要外銷到國際市場，我們也要讓國際社會相信，台灣人做生意有原則、守信用、相信科學，更願意遵守國際標準。

#反美豬公投請投下不同意。

3️⃣南台灣的投資要落實，不能缺少穩定的民主環境。

民粹不能凌駕民主，政策反反覆覆，外商也不能放心來投資。#公投綁大選請投下不同意

這個星期六的公投，攸關每一位南部人的生活，關係南部空氣、用電、工作機會，甚至民主環境的選擇。最後關鍵的七十二小時，請大家一起站出來，呼籲身邊的親朋好友，用四個不同意，延續南台灣的發展，也讓台灣走出去。

四個不同意 台灣隊友總動員！
這個星期五，邀請大家參加公投之夜：

12/17(五)
🚩高雄 大步向前進 19:00
高雄台糖物流園區後方空地(前鎮區中華五路近夢時代百貨)
🚩台北 台灣行出去 19:00
凱達格蘭大道",31512,250,481,85,7,11,229
19,"前陣子，我拜訪了好久不見的好朋友，蔡阿嘎跟二伯、蔡桃貴，還有第一次見面的弟弟蔡波能。

這次我與 嘎嫂二伯 一邊學做奶嘴鍊，一邊聊育兒政策。我也好奇，二伯與蔡阿嘎對政府育兒津貼的想法，很高興他們給我的回應是「十分有感」。藉此我也想提醒各位家長，#明年8月育兒津貼還會從3500元加碼到5000元。

蔡桃貴三歲了，已經到上幼兒園的年紀。政府會持續增加更多公共化幼兒園的名額，讓「名額變多、學費變少」，當家長的神隊友。

育兒政策、福利一直在做，我們也還有很多事情在忙。我也跟蔡阿嘎約定，12月18日這週六，有一項大事，他們工作室的同仁都要回家。

歡迎大家一起看影片，一探究竟：https://www.youtube.com/watch?v=GmDAw9IySn0",20942,292,131,57,49,6,121
